time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,city,split
2023-12-24,22.5,0.0,52,Ahmedabad,train
2018-11-02,25.7,0.0,51,Bhopal,train
2008-10-03,22.6,1.3,80,Bengaluru,train
2016-06-07,30.9,0.0,73,Mumbai,train
2019-11-30,23.3,0.0,73,Hyderabad,train
2024-07-13,25.9,76.7,92,Mumbai,train
2018-11-21,23.5,0.0,52,Bhopal,train
2011-04-12,28.5,0.0,72,Mumbai,train
2023-03-29,23.3,0.2,55,Delhi,train
2023-10-25,26.6,0.0,44,Ahmedabad,train
2012-05-18,32.4,0.0,26,Ludhiana,train
2009-07-27,28.3,0.8,76,Ahmedabad,train
2017-09-16,27.2,5.0,86,Mumbai,train
2010-07-28,24.8,13.0,83,Hyderabad,train
2005-06-04,32.9,0.0,51,Ahmedabad,train
2009-03-17,25.6,0.0,79,Chennai,train
2023-01-04,18.6,0.0,42,Ahmedabad,train
2014-09-01,22.1,2.5,82,Bengaluru,train
2024-11-03,22.4,0.0,64,Ludhiana,train
2017-06-14,24.2,1.2,79,Bengaluru,train
2006-08-31,28.3,0.4,80,Patna,train
2019-03-11,20.0,1.7,55,Delhi,train
2007-04-01,33.0,0.0,27,Nagpur,train
2011-09-25,26.6,0.0,75,Ludhiana,train
2023-04-06,25.8,0.2,59,Bengaluru,train
2006-10-05,29.1,0.0,51,Ludhiana,train
2010-03-04,25.6,0.0,37,Bengaluru,train
2007-01-21,21.2,0.0,53,Bengaluru,train
2013-10-25,23.8,0.0,66,Delhi,train
2015-08-01,27.7,0.0,64,Hyderabad,train
2012-04-26,24.0,12.7,79,Bengaluru,train
2023-05-04,25.1,0.5,70,Bhopal,train
2013-03-21,27.1,0.0,38,Bengaluru,train
2010-01-13,19.3,0.1,71,Bhopal,train
2009-02-23,28.6,0.0,33,Hyderabad,train
2015-12-04,24.6,0.0,59,Hyderabad,train
2010-05-12,29.7,0.0,76,Mumbai,train
2006-10-04,23.1,0.6,77,Bengaluru,train
2024-04-21,30.1,0.0,27,Delhi,train
2017-02-23,21.3,0.0,41,Patna,train
2018-06-29,29.8,5.3,77,Patna,train
2022-06-29,32.4,0.0,60,Ahmedabad,train
2008-07-19,22.5,10.9,83,Bengaluru,train
2018-09-03,26.3,3.7,84,Ahmedabad,train
2011-07-13,28.5,0.0,76,Ahmedabad,train
2007-03-09,22.1,0.0,49,Patna,train
2016-12-06,21.5,0.0,59,Hyderabad,train
2008-03-01,21.8,0.0,53,Patna,train
2015-07-22,29.6,3.0,72,Chennai,train
2013-11-28,19.0,0.0,64,Delhi,train
2019-06-04,34.2,0.0,49,Ahmedabad,train
2011-04-03,28.5,0.4,50,Patna,train
2014-03-25,29.4,0.0,39,Nagpur,train
2024-08-17,28.2,1.1,81,Ahmedabad,train
2019-12-25,22.9,0.4,71,Nagpur,train
2009-11-06,26.9,0.0,36,Ahmedabad,train
2008-11-19,23.8,5.5,86,Hyderabad,train
2017-09-30,27.9,0.0,63,Ludhiana,train
2015-03-03,20.4,0.2,80,Patna,train
2013-06-03,29.3,1.9,67,Chennai,train
2022-06-20,23.0,1.7,82,Bengaluru,train
2014-05-27,31.0,0.9,44,Delhi,train
2023-02-24,19.8,0.0,51,Delhi,train
2016-12-18,15.0,0.0,64,Delhi,train
2012-01-25,22.8,0.0,73,Chennai,train
2022-03-10,19.7,0.0,68,Ludhiana,train
2005-12-22,20.5,0.0,80,Bengaluru,train
2005-02-01,15.2,0.0,74,Bhopal,train
2016-03-10,27.0,0.0,44,Bhopal,train
2017-02-16,24.9,0.0,43,Nagpur,train
2011-10-31,22.5,0.0,67,Patna,train
2010-11-26,26.9,0.0,80,Mumbai,train
2019-09-28,26.4,5.4,88,Mumbai,train
2006-07-12,27.4,2.5,73,Nagpur,train
2022-01-23,12.7,3.5,86,Delhi,train
2008-01-19,21.9,0.0,75,Chennai,train
2022-03-02,25.9,0.0,34,Hyderabad,train
2024-03-25,30.4,0.0,33,Nagpur,train
2010-12-28,11.8,0.0,75,Ludhiana,train
2016-10-01,29.7,0.0,71,Delhi,train
2007-09-06,25.0,32.6,93,Nagpur,train
2024-02-07,10.1,0.0,73,Ludhiana,train
2024-12-04,15.6,0.0,72,Ludhiana,train
